"TimeGenerated [UTC]",SensitiveInfoTypeName,"EndpointMetaData_TargetDomain_s"
"15/3/2022, 09:20:08.695","EU Driver's License Number",
"15/3/2022, 09:20:08.695","Slovenia Tax Identification Number",
"15/3/2022, 09:20:08.695","Austria Driver's License Number",
"15/3/2022, 09:20:08.695","Croatia Driver's License Number",
"15/3/2022, 09:20:08.695","Denmark Driver's License Number",
"15/3/2022, 09:20:08.695","Lithuania Driver's License Number",
"15/3/2022, 09:20:08.695","Malta Driver's License Number",
"15/3/2022, 09:20:08.695","Slovakia Driver's License Number",
"15/3/2022, 09:20:05.801","EU Driver's License Number",
"15/3/2022, 09:20:05.801","Slovenia Tax Identification Number",
"15/3/2022, 09:20:05.801","Austria Driver's License Number",
"15/3/2022, 09:20:05.801","Croatia Driver's License Number",
"15/3/2022, 09:20:05.801","Denmark Driver's License Number",
"15/3/2022, 09:20:05.801","Lithuania Driver's License Number",
"15/3/2022, 09:20:05.801","Malta Driver's License Number",
"15/3/2022, 09:20:05.801","Slovakia Driver's License Number",
"15/3/2022, 09:20:08.229","EU Driver's License Number",
"15/3/2022, 09:20:08.229","Slovenia Tax Identification Number",
"15/3/2022, 09:20:08.229","Austria Driver's License Number",
"15/3/2022, 09:20:08.229","Croatia Driver's License Number",
"15/3/2022, 09:20:08.229","Denmark Driver's License Number",
"15/3/2022, 09:20:08.229","Lithuania Driver's License Number",
"15/3/2022, 09:20:08.229","Malta Driver's License Number",
"15/3/2022, 09:20:08.229","Slovakia Driver's License Number",
"14/3/2022, 17:15:05.497","EU National Identification Number",
"14/3/2022, 17:15:05.497","EU Tax Identification Number (TIN)",
"14/3/2022, 17:15:05.497","Italy Fiscal Code",
"14/3/2022, 17:20:03.487","EU National Identification Number",
"14/3/2022, 17:20:03.487","EU Tax Identification Number (TIN)",
"14/3/2022, 17:20:03.487","Italy Fiscal Code",
"14/3/2022, 17:20:03.182","EU National Identification Number",
"14/3/2022, 17:20:03.182","EU Tax Identification Number (TIN)",
"14/3/2022, 17:20:03.182","Italy Fiscal Code",
"14/3/2022, 17:20:04.661","EU National Identification Number",
"14/3/2022, 17:20:04.661","EU Tax Identification Number (TIN)",
"14/3/2022, 17:20:04.661","Italy Fiscal Code",
"14/3/2022, 17:20:05.821","EU National Identification Number",
"14/3/2022, 17:20:05.821","EU Tax Identification Number (TIN)",
"14/3/2022, 17:20:05.821","Italy Fiscal Code",
"14/3/2022, 17:15:04.709","EU National Identification Number","wetransfer.com"
"14/3/2022, 17:15:04.709","EU Tax Identification Number (TIN)","wetransfer.com"
"14/3/2022, 17:15:04.709","Italy Fiscal Code","wetransfer.com"
"14/3/2022, 17:15:03.607","EU National Identification Number","wetransfer.com"
"14/3/2022, 17:15:03.607","EU Tax Identification Number (TIN)","wetransfer.com"
"14/3/2022, 17:15:03.607","Italy Fiscal Code","wetransfer.com"
"16/3/2022, 08:10:04.617","EU Driver's License Number","wetransfer.com"
"16/3/2022, 08:10:04.617","New Zealand Inland Revenue number","wetransfer.com"
"16/3/2022, 08:10:04.617","Slovenia Tax Identification Number","wetransfer.com"
"16/3/2022, 08:10:04.617","Austria Driver's License Number","wetransfer.com"
"16/3/2022, 08:10:04.617","Croatia Driver's License Number","wetransfer.com"
"16/3/2022, 08:10:04.617","Denmark Driver's License Number","wetransfer.com"
"16/3/2022, 08:10:04.617","Lithuania Driver's License Number","wetransfer.com"
"16/3/2022, 08:10:04.617","Malta Driver's License Number","wetransfer.com"
"16/3/2022, 08:10:04.617","Slovakia Driver's License Number","wetransfer.com"
"16/3/2022, 11:35:04.139","[Custom] Phone number","wetransfer.com"
"16/3/2022, 11:35:04.139","International Banking Account Number (IBAN)","wetransfer.com"
"16/3/2022, 12:00:05.512","[Custom] Phone number","wetransfer.com"
"16/3/2022, 12:00:05.512","International Banking Account Number (IBAN)","wetransfer.com"
"16/3/2022, 12:00:05.060","EU Driver's License Number","wetransfer.com"
"16/3/2022, 12:00:05.060","New Zealand Inland Revenue number","wetransfer.com"
"16/3/2022, 12:00:05.060","Slovenia Tax Identification Number","wetransfer.com"
"16/3/2022, 12:00:05.060","Austria Driver's License Number","wetransfer.com"
"16/3/2022, 12:00:05.060","Croatia Driver's License Number","wetransfer.com"
"16/3/2022, 12:00:05.060","Denmark Driver's License Number","wetransfer.com"
"16/3/2022, 12:00:05.060","Lithuania Driver's License Number","wetransfer.com"
"16/3/2022, 12:00:05.060","Malta Driver's License Number","wetransfer.com"
"16/3/2022, 12:00:05.060","Slovakia Driver's License Number","wetransfer.com"
"16/3/2022, 12:00:05.991","[Custom] Phone number","wetransfer.com"
"16/3/2022, 12:00:05.991","International Banking Account Number (IBAN)","wetransfer.com"
"16/3/2022, 12:00:03.767","[Custom] Phone number","wetransfer.com"
"16/3/2022, 12:00:03.767","International Banking Account Number (IBAN)","wetransfer.com"
